               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  36,            0.066143,            0.011783,           0.0075405,             0.87139,             0.87934,             0.95976,             0.46434,            0.043945,            0.007435,           0.0047007,            0.009307,            0.009307,            0.009307
                  37,            0.055504,            0.014864,           0.0088708,             0.43438,             0.81026,             0.61651,             0.22869,              0.0573,           0.0074592,           0.0042319,           0.0092872,           0.0092872,           0.0092872
                  38,             0.06048,            0.011577,           0.0068429,             0.68587,                0.86,             0.83249,             0.29272,            0.053855,           0.0069576,           0.0043184,           0.0092674,           0.0092674,           0.0092674
                  39,            0.054673,            0.014845,           0.0066347,             0.45372,                0.92,             0.61535,             0.26519,            0.053753,           0.0073676,           0.0040224,           0.0092476,           0.0092476,           0.0092476
                  40,             0.05622,            0.011601,           0.0067255,             0.70822,                0.98,             0.87143,             0.29431,            0.047663,           0.0070693,            0.003829,           0.0092278,           0.0092278,           0.0092278
                  41,            0.047449,             0.01148,           0.0059744,             0.62655,                   1,             0.89454,             0.40897,            0.056086,           0.0071261,           0.0039094,            0.009208,            0.009208,            0.009208
                  42,            0.055054,            0.011767,           0.0065915,             0.46448,             0.95874,             0.59928,             0.21445,            0.061131,           0.0068186,           0.0039166,           0.0091882,           0.0091882,           0.0091882
                  43,            0.058605,            0.011451,           0.0062822,             0.50872,             0.97299,             0.69745,             0.31594,             0.05639,           0.0070001,           0.0038312,           0.0091684,           0.0091684,           0.0091684
                  44,            0.060583,            0.013093,           0.0068488,             0.68094,                0.98,             0.93032,             0.56107,            0.041697,            0.006692,           0.0039189,           0.0091486,           0.0091486,           0.0091486
                  45,            0.049122,            0.013706,           0.0061065,             0.72042,             0.95929,             0.94612,             0.37496,            0.049419,           0.0068141,           0.0038623,           0.0091288,           0.0091288,           0.0091288
                  46,            0.051039,             0.01235,           0.0061128,              0.8422,             0.99454,              0.9758,             0.56363,              0.0401,           0.0067382,           0.0037436,            0.009109,            0.009109,            0.009109
                  47,            0.048666,            0.015262,           0.0063954,              0.8512,             0.95795,             0.96083,             0.49089,            0.046407,           0.0065701,           0.0036752,           0.0090892,           0.0090892,           0.0090892
                  48,            0.051763,            0.012086,           0.0060337,             0.97369,             0.93306,             0.98494,             0.51858,            0.037533,           0.0065698,           0.0037141,           0.0090694,           0.0090694,           0.0090694
                  49,            0.044274,            0.010852,            0.005705,             0.81382,                0.98,             0.91132,             0.46076,            0.047516,           0.0066803,           0.0035134,           0.0090496,           0.0090496,           0.0090496
                  50,            0.050556,            0.011643,           0.0054127,             0.85945,                0.88,             0.95375,             0.54471,            0.044745,           0.0065471,           0.0035585,           0.0090298,           0.0090298,           0.0090298
                  51,            0.043686,            0.010385,           0.0055013,             0.88839,             0.91414,             0.94467,             0.54424,            0.045781,           0.0066401,           0.0035994,             0.00901,             0.00901,             0.00901
                  52,            0.048349,            0.010314,           0.0063165,             0.69511,                0.82,             0.89181,             0.42644,            0.043911,           0.0067341,           0.0035348,           0.0089902,           0.0089902,           0.0089902
                  53,            0.048754,             0.01001,           0.0056556,             0.85432,                0.88,              0.9526,             0.48201,            0.040232,           0.0062954,           0.0038939,           0.0089704,           0.0089704,           0.0089704
                  54,            0.044161,            0.013602,           0.0060786,             0.71909,              0.9775,              0.9359,             0.52565,            0.037881,           0.0061561,           0.0038678,           0.0089506,           0.0089506,           0.0089506
                  55,            0.046386,            0.011959,           0.0060083,             0.71165,             0.97304,             0.93786,             0.57745,            0.040149,           0.0060027,           0.0041103,           0.0089308,           0.0089308,           0.0089308
                  56,            0.049124,            0.011013,           0.0062298,             0.98958,                   1,               0.995,             0.54548,            0.035062,           0.0057242,           0.0039962,            0.008911,            0.008911,            0.008911
                  57,            0.041229,            0.010763,            0.010597,             0.42824,                0.82,             0.53573,             0.16426,            0.053571,           0.0063633,           0.0040305,           0.0088912,           0.0088912,           0.0088912
                  58,            0.058696,            0.012793,           0.0063837,             0.91143,              0.9783,             0.94452,             0.57107,            0.026699,           0.0056051,           0.0041483,           0.0088714,           0.0088714,           0.0088714
                  59,            0.037571,            0.013342,           0.0079353,             0.62714,                0.92,              0.7975,             0.51405,            0.049213,           0.0056938,           0.0036089,           0.0088516,           0.0088516,           0.0088516
                  60,            0.053334,            0.012844,           0.0092914,             0.79414,             0.93912,             0.89088,             0.35968,            0.038976,           0.0057333,              0.0036,           0.0088318,           0.0088318,           0.0088318
                  61,            0.045064,           0.0097002,            0.005359,             0.75445,                0.96,             0.85406,             0.42992,            0.035945,           0.0056742,           0.0036082,            0.008812,            0.008812,            0.008812
                  62,            0.044071,             0.01005,           0.0052529,             0.66381,                 0.9,             0.86066,             0.40516,            0.044124,           0.0057094,            0.003524,           0.0087922,           0.0087922,           0.0087922
                  63,            0.041287,           0.0090015,           0.0050074,              0.8438,             0.98812,             0.98211,             0.62071,            0.032275,           0.0054118,           0.0037205,           0.0087724,           0.0087724,           0.0087724
                  64,            0.042386,            0.012404,           0.0065911,             0.87904,                   1,             0.99286,             0.47727,            0.032265,           0.0055322,           0.0036367,           0.0087526,           0.0087526,           0.0087526
                  65,            0.037115,           0.0084913,           0.0052965,             0.73943,             0.99785,             0.94188,             0.47498,            0.036941,           0.0053234,           0.0036546,           0.0087328,           0.0087328,           0.0087328
                  66,            0.041091,            0.011945,            0.005145,             0.98882,                   1,               0.995,             0.54899,            0.030285,           0.0051706,           0.0037535,            0.008713,            0.008713,            0.008713
                  67,            0.045317,           0.0093978,           0.0065976,              0.7222,                0.98,              0.9026,             0.50197,            0.037296,           0.0050916,           0.0036103,           0.0086932,           0.0086932,           0.0086932
                  68,            0.042914,            0.011155,           0.0049668,             0.91378,             0.99362,             0.99115,             0.60103,             0.03524,           0.0050509,           0.0036177,           0.0086734,           0.0086734,           0.0086734
                  69,            0.041525,             0.01054,           0.0054522,             0.83568,             0.96651,             0.96454,             0.57055,            0.035632,            0.005122,           0.0034212,           0.0086536,           0.0086536,           0.0086536
                  70,            0.037378,            0.008096,           0.0072837,             0.81866,             0.98497,             0.98322,             0.46755,            0.036415,           0.0052516,           0.0034386,           0.0086338,           0.0086338,           0.0086338
